title,comment,bias,hate
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,들박 딱! 들박 딱! 아기즙 쭈욱쭈욱!!,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,ㅇㅌ는 밑에 문홍색일거 같아,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,들박하면 보방구 많이 뀌겠네,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,저끈 그대로 끊은 다음 들박해야겠노,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,보드랑이살 통통하게 차올라서 팔올려서 비비면 개존맛,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,한달동안 윈터 겨제모 못하게하고 자랐을때 내가 이빨로 뽑아주고 싶다,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,윈터의 빈유젖가슴 붙잡고 존나 박아야지,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,일주일동안 샤워안시키고 매일 두시간씩 달리기시킨담에 겨드랑이냄새맡아보고싶다. 겨드랑이냄새맡는순간 정 ㅈㄴ 떨어질듯,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,민지 땀 흘리고 일주일이상 안 씻은 겨드랑이 냄새 1박 2일 내내 맡고싶다,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,민지랑 피스톤운동에 대한 집중탐구하고싶다.,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,민지랑 들박하고 싶은데,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,섹ㅅ…아니 칼국수를 가르쳐 주겠다,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,누드스파링 조지고싶네,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,와 민지 블로우팝은 진짜 존나 딜리셔스 하겠다 3분도 못 참을듯,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,민지 피지컬 좆되던데 밤에 내가 덮치려하면 역으로 올라타버릴듯,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,최소 10발 가능 ㅡㅡ,gender,offensive
[페이스캠4K] 에스파 윈터 'Drama' (aespa WINTER FaceCam) @SBS Inkigayo 231119,하ㅇ다 뽑히고 싶노,gender,offensive
240218 에스파 카리나 aespa KARINA 🎵Drama 직캠 FANCAM @HMA2023 4K60P HDR,삽입하고싶다,gender,offensive
240218 에스파 카리나 aespa KARINA 🎵Drama 직캠 FANCAM @HMA2023 4K60P HDR,다리벌려서 액받이,gender,offensive
240218 에스파 카리나 aespa KARINA 🎵Drama 직캠 FANCAM @HMA2023 4K60P HDR,재옥이 한테 많이 해봐서 그런지 익숙하네,gender,offensive
240218 에스파 카리나 aespa KARINA 🎵Drama 직캠 FANCAM @HMA2023 4K60P HDR,카리나는 그냥 나락 가야됌 더 더 더 더 더 나락 가야됌ㅇㅇ 성상품이 주제도 모르고 자아를 가지니까 기고만장 해지지,gender,offensive
240218 에스파 카리나 aespa KARINA 🎵Drama 직캠 FANCAM @HMA2023 4K60P HDR,ntr 상상하면서 해야겠노ㅎㅎ,gender,offensive
240218 에스파 카리나 aespa KARINA 🎵Drama 직캠 FANCAM @HMA2023 4K60P HDR,재욱아 맘마 맛있냐,gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,등에 레터링까지.. 이건 진짜 수건 인정인데,gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,ㄷㅂ마렵다,gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,"이거 말고 썬베드에 누운 게 개꼴림 가슴 윤곽, 질감 다 느껴져서 바로 따먹고 싶어짐",gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,은비 들박 개씹맛집,gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,뭐긴 뭐야 젖비지,gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,이제 얼굴만 봐도 발기된다,gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,은비 임신시키고 매일 우유 빨아주고싶다,gender,offensive
230921 권은비 KWON EUNBI 🎧Underwater 직캠 FANCAM @세명대학교 축제 4K30P HDR,은비 두 멜론 사이 젔까시 하면 기분이,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,유진이가 내 아랫도리 담당 이서가 내 위에 담당하면 천국일듯,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,좋은 조임이다…완벽한 조임쇠들,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,안유진이 입술과 혀로 빨아주면 십 분 안에 나옴,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,얘는 히잡을 써도 너무 꼴릴듯……자기 gang간하는 남자들 모조리 복상사시켜버릴거같음,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,유진이 진짜 ㅈㄴ 쫀득할 것 같음 다리허벌하게 하고 유진이 조갯살이 훤히 보이는 상태로 내 물건 쭈왁쭈왁 넣다뺐다 하면 지리겠다 진짜 ee,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,안유진 뒤치기 진짜 개씹맛집,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,유진이 애액 먹고싶다,gender,offensive
[#최애직캠] IVE YUJIN - Kitsch(아이브 안유진 - 키치) Close-up Cam | Show! MusicCore | MBC230415방송,유진이 애X하고싶다,gender,offensive
[MPD직캠] 르세라핌 김채원 직캠 4K 'Smart' (LE SSERAFIM KIM CHAEWON FanCam) | @MCOUNTDOWN_2024.3.7,액받이다,gender,offensive
[MPD직캠] 르세라핌 김채원 직캠 4K 'Smart' (LE SSERAFIM KIM CHAEWON FanCam) | @MCOUNTDOWN_2024.3.7,ㄷㅂ 마렵다,gender,offensive
[MPD직캠] 르세라핌 김채원 직캠 4K 'Smart' (LE SSERAFIM KIM CHAEWON FanCam) | @MCOUNTDOWN_2024.3.7,그냥 안에다 한번했으면좋겠다,gender,offensive
[MPD직캠] 르세라핌 김채원 직캠 4K 'Smart' (LE SSERAFIM KIM CHAEWON FanCam) | @MCOUNTDOWN_2024.3.7,채원이는 들박하면 신음 맛있겠다,gender,offensive
[MPD직캠] 르세라핌 김채원 직캠 4K 'Smart' (LE SSERAFIM KIM CHAEWON FanCam) | @MCOUNTDOWN_2024.3.7,얘 진짜 왤케 야한지 모르겠음;;; 걍 뭔가뭔가임,gender,offensive
[MPD직캠] 르세라핌 김채원 직캠 4K 'Smart' (LE SSERAFIM KIM CHAEWON FanCam) | @MCOUNTDOWN_2024.3.7,흑두임,gender,offensive
